Date,Message,Motor Index,12:00:00 AM,Motor Index,12:00:00 AM,05:30:00 AM,06:00:00 AM,06:30:00 AM,07:00:00 AM,07:30:00 AM,08:00:00 AM,05:30:00 PM,06:00:00 PM,06:30:00 PM,07:00:00 PM,07:30:00 PM,08:00:00 PM,Motor Index,12:00:00 AM,05:30:00 AM,06:00:00 AM,06:30:00 AM,07:00:00 AM,07:30:00 AM,08:00:00 AM,05:30:00 PM,06:00:00 PM,06:30:00 PM,07:00:00 PM,07:30:00 PM,08:00:00 PM
02/22/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/23/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/24/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/25/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/26/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/27/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
02/28/15,,1,Winter,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/01/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/02/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/03/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/04/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/05/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/06/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/07/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/08/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/09/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/10/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/11/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/12/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/13/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/14/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/15/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/16/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/17/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/18/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/19/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/20/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
03/21/15,,1,SumSpr,2,Star,Star,Star,Star,Star,Star,Sun,Birds,Birds,Birds,Birds,Star,Star,3,Full,Full,Full,Full,Full,NewMoon,NewMoon,NewMoon,NewMoon,DyingCrescent,DyingCrescent,DyingCrescent,DyingCrescent
